"Name","Code","Year","Share","Sector"
"Minerals, fuels, ores and salts","3 HS1","2002","1.87%","Minerals"
"Minerals, fuels, ores and salts","3 HS1","2003","1.78%","Minerals"
"Minerals, fuels, ores and salts","3 HS1","2004","2.14%","Minerals"
"Minerals, fuels, ores and salts","3 HS1","2005","2.85%","Minerals"
"Minerals, fuels, ores and salts","3 HS1","2006","3.34%","Minerals"
"Minerals, fuels, ores and salts","3 HS1","2007","2.61%","Minerals"
"Minerals, fuels, ores and salts","3 HS1","2008","3.32%","Minerals"
"Minerals, fuels, ores and salts","3 HS1","2009","2.77%","Minerals"
"Minerals, fuels, ores and salts","3 HS1","2010","2.74%","Minerals"
"Minerals, fuels, ores and salts","3 HS1","2011","3.08%","Minerals"
"Minerals, fuels, ores and salts","3 HS1","2012","3.26%","Minerals"
"Minerals, fuels, ores and salts","3 HS1","2013","3.40%","Minerals"
"Minerals, fuels, ores and salts","3 HS1","2014","2.94%","Minerals"
"Minerals, fuels, ores and salts","3 HS1","2015","2.75%","Minerals"
"Minerals, fuels, ores and salts","3 HS1","2016","2.18%","Minerals"
"Minerals, fuels, ores and salts","3 HS1","2017","2.40%","Minerals"
"Minerals, fuels, ores and salts","3 HS1","2018","2.73%","Minerals"
"Minerals, fuels, ores and salts","3 HS1","2019","2.77%","Minerals"
"Metals","4 HS1","1995","8.98%","Metals"
"Metals","4 HS1","1996","8.38%","Metals"
"Metals","4 HS1","1997","8.44%","Metals"
"Metals","4 HS1","1998","8.02%","Metals"
"Metals","4 HS1","1999","7.47%","Metals"
"Metals","4 HS1","2000","7.19%","Metals"
"Metals","4 HS1","2001","7.16%","Metals"
"Metals","4 HS1","2002","7.15%","Metals"
"Metals","4 HS1","2003","6.91%","Metals"
"Metals","4 HS1","2004","7.37%","Metals"
"Metals","4 HS1","2005","8.01%","Metals"
"Metals","4 HS1","2006","8.80%","Metals"
"Metals","4 HS1","2007","8.96%","Metals"
"Metals","4 HS1","2008","8.91%","Metals"
"Metals","4 HS1","2009","7.72%","Metals"
"Metals","4 HS1","2010","8.04%","Metals"
"Metals","4 HS1","2011","8.38%","Metals"
"Metals","4 HS1","2012","7.97%","Metals"
"Metals","4 HS1","2013","7.62%","Metals"
"Metals","4 HS1","2014","7.53%","Metals"
"Metals","4 HS1","2015","7.14%","Metals"
"Metals","4 HS1","2016","6.85%","Metals"
"Metals","4 HS1","2017","7.18%","Metals"
"Metals","4 HS1","2018","7.26%","Metals"
"Metals","4 HS1","2019","6.96%","Metals"
"Chemicals and plastics","5 HS1","1995","18.51%","Chemicals"
"Chemicals and plastics","5 HS1","1996","18.23%","Chemicals"
"Chemicals and plastics","5 HS1","1997","18.32%","Chemicals"
"Chemicals and plastics","5 HS1","1998","17.52%","Chemicals"
"Chemicals and plastics","5 HS1","1999","17.59%","Chemicals"
"Chemicals and plastics","5 HS1","2000","16.25%","Chemicals"
"Chemicals and plastics","5 HS1","2001","16.82%","Chemicals"
"Chemicals and plastics","5 HS1","2002","16.60%","Chemicals"
"Chemicals and plastics","5 HS1","2003","16.36%","Chemicals"
"Chemicals and plastics","5 HS1","2004","16.58%","Chemicals"
"Chemicals and plastics","5 HS1","2005","17.12%","Chemicals"
"Chemicals and plastics","5 HS1","2006","17.08%","Chemicals"
"Chemicals and plastics","5 HS1","2007","16.87%","Chemicals"
"Chemicals and plastics","5 HS1","2008","16.80%","Chemicals"
"Chemicals and plastics","5 HS1","2009","18.30%","Chemicals"
"Chemicals and plastics","5 HS1","2010","17.69%","Chemicals"
"Chemicals and plastics","5 HS1","2011","17.50%","Chemicals"
"Chemicals and plastics","5 HS1","2012","17.82%","Chemicals"
"Chemicals and plastics","5 HS1","2013","18.04%","Chemicals"
"Chemicals and plastics","5 HS1","2014","18.09%","Chemicals"
"Chemicals and plastics","5 HS1","2015","18.00%","Chemicals"
"Chemicals and plastics","5 HS1","2016","17.97%","Chemicals"
"Chemicals and plastics","5 HS1","2017","18.15%","Chemicals"
"Chemicals and plastics","5 HS1","2018","18.43%","Chemicals"
"Chemicals and plastics","5 HS1","2019","18.37%","Chemicals"
"Transport vehicles","6 HS1","1995","17.09%","Vehicles"
"Transport vehicles","6 HS1","1996","17.67%","Vehicles"
"Transport vehicles","6 HS1","1997","18.23%","Vehicles"
"Transport vehicles","6 HS1","1998","19.57%","Vehicles"
"Transport vehicles","6 HS1","1999","20.45%","Vehicles"
"Transport vehicles","6 HS1","2000","19.29%","Vehicles"
"Transport vehicles","6 HS1","2001","20.76%","Vehicles"
"Transport vehicles","6 HS1","2002","21.49%","Vehicles"
"Transport vehicles","6 HS1","2003","21.06%","Vehicles"
"Transport vehicles","6 HS1","2004","19.64%","Vehicles"
"Transport vehicles","6 HS1","2005","19.72%","Vehicles"
"Transport vehicles","6 HS1","2006","19.12%","Vehicles"
"Transport vehicles","6 HS1","2007","19.11%","Vehicles"
"Transport vehicles","6 HS1","2008","18.63%","Vehicles"
"Transport vehicles","6 HS1","2009","17.73%","Vehicles"
"Transport vehicles","6 HS1","2010","19.17%","Vehicles"
"Transport vehicles","6 HS1","2011","19.40%","Vehicles"
"Transport vehicles","6 HS1","2012","20.07%","Vehicles"
"Transport vehicles","6 HS1","2013","20.00%","Vehicles"
"Transport vehicles","6 HS1","2014","20.54%","Vehicles"
"Transport vehicles","6 HS1","2015","21.80%","Vehicles"
"Transport vehicles","6 HS1","2016","22.05%","Vehicles"
"Transport vehicles","6 HS1","2017","21.14%","Vehicles"
"Transport vehicles","6 HS1","2018","20.05%","Vehicles"
"Transport vehicles","6 HS1","2019","19.62%","Vehicles"
"Machinery and instruments","7 HS1","1995","23.90%","Machinery"
"Machinery and instruments","7 HS1","1996","24.62%","Machinery"
"Machinery and instruments","7 HS1","1997","23.94%","Machinery"
"Machinery and instruments","7 HS1","1998","24.12%","Machinery"
"Machinery and instruments","7 HS1","1999","23.73%","Machinery"
"Machinery and instruments","7 HS1","2000","22.41%","Machinery"
"Machinery and instruments","7 HS1","2001","22.74%","Machinery"
"Machinery and instruments","7 HS1","2002","22.75%","Machinery"
"Machinery and instruments","7 HS1","2003","22.11%","Machinery"
"Machinery and instruments","7 HS1","2004","22.68%","Machinery"
"Machinery and instruments","7 HS1","2005","23.46%","Machinery"
"Machinery and instruments","7 HS1","2006","23.37%","Machinery"
"Machinery and instruments","7 HS1","2007","22.57%","Machinery"
"Machinery and instruments","7 HS1","2008","22.92%","Machinery"
"Machinery and instruments","7 HS1","2009","22.93%","Machinery"
"Machinery and instruments","7 HS1","2010","22.21%","Machinery"
"Machinery and instruments","7 HS1","2011","22.31%","Machinery"
"Machinery and instruments","7 HS1","2012","22.09%","Machinery"
"Machinery and instruments","7 HS1","2013","21.94%","Machinery"
"Machinery and instruments","7 HS1","2014","21.85%","Machinery"
"Machinery and instruments","7 HS1","2015","21.60%","Machinery"
"Machinery and instruments","7 HS1","2016","21.56%","Machinery"
"Machinery and instruments","7 HS1","2017","22.44%","Machinery"
"Machinery and instruments","7 HS1","2018","22.77%","Machinery"
"Machinery and instruments","7 HS1","2019","23.17%","Machinery"
"Electronics","8 HS1","1995","11.02%","Electronics"
"Electronics","8 HS1","1996","11.01%","Electronics"
"Electronics","8 HS1","1997","10.99%","Electronics"
"Electronics","8 HS1","1998","10.83%","Electronics"
"Electronics","8 HS1","1999","11.30%","Electronics"
"Electronics","8 HS1","2000","11.48%","Electronics"
"Electronics","8 HS1","2001","11.39%","Electronics"
"Electronics","8 HS1","2002","11.19%","Electronics"
"Electronics","8 HS1","2003","10.73%","Electronics"
"Electronics","8 HS1","2004","11.09%","Electronics"
"Electronics","8 HS1","2005","11.22%","Electronics"
"Electronics","8 HS1","2006","10.78%","Electronics"
"Electronics","8 HS1","2007","10.03%","Electronics"
"Electronics","8 HS1","2008","9.93%","Electronics"
"Electronics","8 HS1","2009","9.92%","Electronics"
"Electronics","8 HS1","2010","10.39%","Electronics"
"Electronics","8 HS1","2011","9.81%","Electronics"
"Electronics","8 HS1","2012","9.63%","Electronics"
"Electronics","8 HS1","2013","9.60%","Electronics"
"Electronics","8 HS1","2014","9.63%","Electronics"
"Electronics","8 HS1","2015","9.67%","Electronics"
"Electronics","8 HS1","2016","10.08%","Electronics"
"Electronics","8 HS1","2017","10.18%","Electronics"
"Electronics","8 HS1","2018","10.30%","Electronics"
"Electronics","8 HS1","2019","10.44%","Electronics"
"Other","9 HS1","1995","0.03%","Other"
"Other","9 HS1","1997","1.01%","Other"
"Other","9 HS1","1998","1.01%","Other"
"Other","9 HS1","1999","1.16%","Other"
"Other","9 HS1","2000","6.74%","Other"
"Other","9 HS1","2001","3.86%","Other"
"Other","9 HS1","2002","3.46%","Other"
"Other","9 HS1","2003","6.53%","Other"
"Other","9 HS1","2004","6.72%","Other"
"Other","9 HS1","2005","3.34%","Other"
"Other","9 HS1","2006","3.56%","Other"
"Other","9 HS1","2007","6.19%","Other"
"Other","9 HS1","2008","4.95%","Other"
"Other","9 HS1","2009","4.53%","Other"
"Other","9 HS1","2010","4.39%","Other"
"Other","9 HS1","2011","4.06%","Other"
"Other","9 HS1","2012","4.10%","Other"
"Other","9 HS1","2013","4.27%","Other"
"Other","9 HS1","2014","4.57%","Other"
"Other","9 HS1","2015","4.63%","Other"
"Other","9 HS1","2016","4.57%","Other"
"Other","9 HS1","2017","3.91%","Other"
"Other","9 HS1","2018","4.08%","Other"
"Other","9 HS1","2019","3.79%","Other"
